file,field,shape,dtype
data/reference/figures/temperature_distribution_v19_data.npz,temp_2020-11-29_M3_native,72 x 48,float64
data/reference/figures/temperature_distribution_v19_data.npz,temp_2020-11-29_M4_proposed,216 x 48,float64
data/reference/figures/temperature_distribution_v20_data.npz,temp_2020-04-07_M1_constant,72 x 48,float64
data/reference/figures/temperature_distribution_v20_data.npz,temp_2020-04-07_M2_native,72 x 48,float64
data/reference/figures/temperature_distribution_v20_data.npz,temp_2020-04-07_M3_native,72 x 48,float64
data/reference/figures/temperature_distribution_v20_data.npz,temp_2020-04-07_M4_proposed,216 x 48,float64
data/reference/figures/temperature_distribution_v20_data.npz,temp_2020-10-17_M1_constant,72 x 48,float64
data/reference/figures/temperature_distribution_v20_data.npz,temp_2020-10-17_M2_native,72 x 48,float64
data/reference/figures/temperature_distribution_v20_data.npz,temp_2020-10-17_M3_native,72 x 48,float64
data/reference/figures/temperature_distribution_v20_data.npz,temp_2020-10-17_M4_proposed,216 x 48,float64
data/reference/figures/temperature_distribution_v20_data.npz,temp_2020-11-29_M1_constant,72 x 48,float64
data/reference/figures/temperature_distribution_v20_data.npz,temp_2020-11-29_M2_native,72 x 48,float64
data/reference/figures/temperature_distribution_v20_data.npz,temp_2020-11-29_M3_native,72 x 48,float64
data/reference/figures/temperature_distribution_v20_data.npz,temp_2020-11-29_M4_proposed,216 x 48,float64
data/reference/results/execution/public_v12/site0_candidate0.npz,states,3 x 289 x 36,float64
data/reference/results/execution/public_v12/site0_candidate0.npz,power_w,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate0.npz,time_h,289,float64
data/reference/results/execution/public_v12/site0_candidate0.npz,production_kg,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate1.npz,states,3 x 289 x 36,float64
data/reference/results/execution/public_v12/site0_candidate1.npz,power_w,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate1.npz,time_h,289,float64
data/reference/results/execution/public_v12/site0_candidate1.npz,production_kg,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate11.npz,states,3 x 289 x 36,float64
data/reference/results/execution/public_v12/site0_candidate11.npz,power_w,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate11.npz,time_h,289,float64
data/reference/results/execution/public_v12/site0_candidate11.npz,production_kg,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate12.npz,states,3 x 289 x 36,float64
data/reference/results/execution/public_v12/site0_candidate12.npz,power_w,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate12.npz,time_h,289,float64
data/reference/results/execution/public_v12/site0_candidate12.npz,production_kg,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate3.npz,states,3 x 289 x 36,float64
data/reference/results/execution/public_v12/site0_candidate3.npz,power_w,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate3.npz,time_h,289,float64
data/reference/results/execution/public_v12/site0_candidate3.npz,production_kg,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate5.npz,states,3 x 289 x 36,float64
data/reference/results/execution/public_v12/site0_candidate5.npz,power_w,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate5.npz,time_h,289,float64
data/reference/results/execution/public_v12/site0_candidate5.npz,production_kg,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate7.npz,states,3 x 289 x 36,float64
data/reference/results/execution/public_v12/site0_candidate7.npz,power_w,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate7.npz,time_h,289,float64
data/reference/results/execution/public_v12/site0_candidate7.npz,production_kg,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate9.npz,states,3 x 289 x 36,float64
data/reference/results/execution/public_v12/site0_candidate9.npz,power_w,3 x 48,float64
data/reference/results/execution/public_v12/site0_candidate9.npz,time_h,289,float64
data/reference/results/execution/public_v12/site0_candidate9.npz,production_kg,3 x 48,float64
